region,market,starter_median,starter_lq,help_to_buy,shared
England,40100,42500,30700,38659.83782,24235.48
South East,46300,48600,37995.64,46416.99885,26564.89
London,68500,58300,42228.8,58048.61789,33345.54
East,43900,46000,34259.77,41570.31217,25133.34
South West,38600,38400,29925.03,35868.39431,22162.32
West Midlands,31800,37200,34354.84,32373.33739,20074.02
East Midlands,33800,38600,29662.08,32916.16154,19901.4
Yorkshire and Humber,31900,36700,27080.87,31088.47281,18063.17
North West,31300,37000,29662.85,31156.72413,19219.19
North East,29700,37400,29662.85,29705.12416,20698.75
