GVTREGN,market,starter_med,starter_lq,helptobuy,shared,starter_mdeposit,starter_lqdeposit,helptobuy_deposit,shared_deposit
92000001,40100,42500,30700,51546,24235,31135,22539,8951,12005
112000008,46300,48600,37996,61889,26565,37078,28987,10931,12678
112000007,68500,58300,42229,58049,33346,70662,51206,11090,16254
112000006,43900,46000,34260,55427,25133,34342,25580,9790,12134
112000009,38600,38400,29925,47825,22162,32633,25419,8608,10495
112000005,31800,37200,34355,43164,20074,22473,20755,7260,9579
112000004,33800,38600,29662,43888,19901,22284,17119,7382,9632
112000003,31900,36700,27081,41451,18063,20365,15011,6790,8780
112000002,31300,37000,29663,41542,19219,20426,15462,6809,9499
112000001,29700,37400,29663,39607,20699,19464,15424,6488,9983
,,,,,,,,,
